CODCLIFOR;TIPOCF;CODREPRES;NOMEFAN;CIDADE;UF;CODMUNICIPIO;TIPOPESSOA;COBRBANC;PRAZOPGTO
2;2;0;Fornecedor 2;SÃO PAULO;;3550308;2;0;0
3;2;0;Fornecedor 3;SÃO PAULO;SP;3550308;2;0;0
4;2;0;Fornecedor 4;JUNDIAI;SP;3515004;2;0;0
7;2;0;Fornecedor 7;SÃO PAULO;SP;3550308;2;0;0
8;2;0;Fornecedor 8;SÃO PAULO;SP;3550308;2;0;0
9;2;0;Fornecedor 9;SÃO PAULO;SP;3550308;2;0;0
10;2;0;Fornecedor 10;ARUJA;SP;3503901;2;0;0
11;2;0;Fornecedor 11;BLUMENAU;SC;4202404;2;0;0
12;2;0;Fornecedor 12;SÃO PAULO;SP;3550308;2;0;0
13;2;0;Fornecedor 13;JUNDIAI;SP;3525904;2;0;0
14;2;0;Fornecedor 14;SÃO PAULO;SP;3550308;2;0;0
15;2;0;Fornecedor 15;SÃO PAULO;SP;3550308;2;0;0
16;2;0;Fornecedor 16;SAO BERNARDO CAMPO;SP;3548708;2;0;0
17;2;0;Fornecedor 17;SÃO PAULO;;3550308;2;0;0
18;2;0;Fornecedor 18;CAJAMAR;SP;3509205;2;0;0
19;2;0;Fornecedor 19;SÃO PAULO;SP;3550308;2;0;0
20;2;0;Fornecedor 20;SÃO PAULO;SP;3550308;2;0;0
21;2;0;Fornecedor 21;SANTA FE DO SUL;SP;3546603;2;0;0
22;2;0;Fornecedor 22;SÃO PAULO;SP;3550308;2;0;0
23;2;0;Fornecedor 23;SÃO PAULO;SP;3550308;2;0;0
24;2;0;Fornecedor 24;SÃO PAULO;SP;3550308;2;0;0
25;2;0;Fornecedor 25;SÃO PAULO;SP;3550308;2;0;0
26;2;0;Fornecedor 26;SÃO PAULO;SP;3550308;2;0;0
27;2;0;Fornecedor 27;SÃO PAULO;RP;3550308;2;0;0
28;2;0;Fornecedor 28;SÃO PAULO;;3550308;2;0;0
29;2;0;Fornecedor 29;SÃO PAULO;SP;3550308;2;0;0
30;2;0;Fornecedor 30;SÃO PAULO;SP;3550308;2;0;0
31;2;0;Fornecedor 31;SÃO PAULO;SP;3550308;2;0;0
32;2;0;Fornecedor 32;ARACARIGUAMA;SP;3502754;2;0;0
33;2;0;Fornecedor 33;SÃO PAULO;SP;3550308;2;0;0
34;2;0;Fornecedor 34;SÃO PAULO;SP;3550308;2;0;0
35;2;0;Fornecedor 35;SÃO PAULO;SP;3550308;2;0;0
37;2;0;Fornecedor 37;EMBU DAS ARTES;SP;3515004;2;0;0
38;2;0;Fornecedor 38;SÃO PAULO;SP;3550308;2;0;0
39;2;0;Fornecedor 39;SÃO PAULO;SP;3550308;2;0;0
40;2;0;Fornecedor 40;SÃO PAULO;SP;3550308;2;0;0
41;2;0;Fornecedor 41;SAO PAULO;SP;3550308;2;0;0
42;2;0;Fornecedor 42;SÃO PAULO;PR;3550308;2;0;0
43;2;0;Fornecedor 43;SÃO PAULO;SP;3550308;2;0;0
44;2;0;Fornecedor 44;SÃO PAULO;SP;3550308;2;0;0
45;2;0;Fornecedor 45;SACRAMENTO;MG;3156908;2;0;0
46;2;0;Fornecedor 46;BRASOPOLIS;MG;3108909;2;0;0
47;2;0;Fornecedor 47;JANDIRA;SP;3525003;2;0;0
48;2;0;Fornecedor 48;SÃO PAULO;SP;3550308;2;0;0
49;2;0;Fornecedor 49;SÃO PAULO;SP;3550308;2;0;0
50;2;0;Fornecedor 50;NEROPOLIS;GO;5214507;2;0;0
51;2;0;Fornecedor 51;MONTE ALTO;SP;3531308;2;0;0
52;2;0;Fornecedor 52;SÃO PAULO;SP;3550308;2;0;0
53;2;0;Fornecedor 53;ITUPEVA;SP;3524006;2;0;0
54;2;0;Fornecedor 54;SÃO PAULO;SP;3550308;2;0;0
55;2;0;Fornecedor 55;SÃO PAULO;GO;3550308;2;0;0
56;2;0;Fornecedor 56;SÃO PAULO;SP;3550308;2;0;0
57;2;0;Fornecedor 57;SÃO PAULO;SP;3550308;2;0;0
58;2;0;Fornecedor 58;SÃO PAULO;SP;3550308;2;0;0
59;2;0;Fornecedor 59;SÃO PAULO;SP;3550308;2;0;0
60;2;0;Fornecedor 60;SAO PAULO;SP;3550308;2;0;0
61;2;0;Fornecedor 61;SÃO PAULO;SP;3550308;2;0;0
62;2;0;Fornecedor 62;SÃO PAULO;SP;3550308;2;0;0
63;2;0;Fornecedor 63;SÃO PAULO;SP;3550308;2;0;0
64;2;0;Fornecedor 64;EMBU DAS ARTES;SP;3515004;2;0;0
65;2;0;Fornecedor 65;CAJAMAR;SP;3550308;2;0;0
66;2;0;Fornecedor 66;SÃO PAULO;SP;3550308;2;0;0
67;2;0;Fornecedor 67;SÃO PAULO;SP;3550308;2;0;0
68;2;0;Fornecedor 68;SÃO PAULO;SP;3550308;2;0;0
70;2;0;Fornecedor 70;SÃO PAULO;SP;3550308;2;0;0
71;2;0;Fornecedor 71;SÃO PAULO;SP;3550308;2;0;0
72;2;0;Fornecedor 72;SÃO PAULO;SP;3550308;2;0;0
73;2;0;Fornecedor 73;SÃO PAULO;SP;3550308;2;0;0
74;2;0;Fornecedor 74;SÃO PAULO;SP;3550308;2;0;0
76;2;0;Fornecedor 76;SÃO PAULO;SP;3550308;2;0;0
77;2;0;Fornecedor 77;SAO PAULO;SP;3550308;2;0;0
78;2;0;Fornecedor 78;MAIRINQUE;SP;3528403;2;0;0
79;2;0;Fornecedor 79;TABOAO DA SERRA;SP;3552809;2;0;0
80;2;0;Fornecedor 80;SÃO PAULO;SP;3550308;2;0;0
