NUMPED;DATAPED;HORAPED;CODCLIEN;ES;FINALIDNFE;SITUACAO;PESO;PRAZOPGTO;VALORPRODS;VALORDESC;VALOR;VALBASEICMS;VALICMS;COMISSAO
553.196;01.04.2022;05:59:36;1.562;S;1;2;40,000;14;501,60;0,00;501,60;195,07;35,11;3,00
553.197;01.04.2022;06:00:59;1.580;S;1;2;31,865;14;499,13;0,00;499,13;362,98;49,02;3,00
553.198;01.04.2022;06:01:54;3.404;S;1;2;5,100;19;79,00;0,00;79,00;30,72;5,53;0,00
553.199;01.04.2022;07:49:48;1.673;S;1;2;9,580;7;341,85;0,00;341,85;331,64;41,02;0,00
553.200;01.04.2022;08:02:37;2.424;S;1;2;1,000;10;17.319,93;0,00;0,00;17.319,93;2.078,39;0,00
553.201;01.04.2022;08:23:14;2.362;S;1;2;2,240;14;177,40;0,00;177,40;134,40;0,00;0,00
553.202;01.04.2022;08:23:33;2.026;S;1;2;5,270;28;171,20;0,00;171,20;171,20;19,76;0,00
553.203;01.04.2022;08:26:27;3.291;S;1;2;6,000;0;207,79;0,00;207,79;196,53;35,38;0,00
553.204;01.04.2022;08:26:49;1.685;S;1;2;11,000;7;150,11;0,00;150,11;79,70;9,25;0,00
553.206;01.04.2022;09:03:53;1.615;S;1;2;25,000;21;159,00;0,00;159,00;106,01;19,08;0,00
553.207;01.04.2022;09:33:47;1.332;S;1;2;17,404;14;553,71;0,00;553,71;486,81;63,35;0,00
553.208;01.04.2022;09:29:07;1.194;S;1;3;42,240;14;427,75;0,00;427,75;350,48;25,14;0,00
553.209;01.04.2022;14:10:40;2.253;S;1;2;551,380;0;8.637,60;0,00;8.637,60;6.927,79;729,86;3,00
553.210;01.04.2022;09:42:42;2.309;S;1;2;9,116;14;326,72;0,00;326,72;275,98;25,57;0,00
553.211;01.04.2022;09:44:40;1.839;S;1;2;3,280;7;63,83;0,00;63,83;44,92;3,63;0,00
553.212;01.04.2022;09:47:13;2.017;S;1;2;0,000;0;0,00;0,00;0,00;0,00;0,00;0,00
553.213;01.04.2022;09:50:15;1.448;S;1;2;4,300;0;27,37;0,00;27,37;27,37;0,00;0,00
553.214;01.04.2022;09:57:06;1.184;S;1;2;6,000;0;200,93;0,00;200,93;200,93;24,11;0,00
553.215;01.04.2022;09:53:21;1.185;S;1;2;9,980;14;383,51;0,00;383,51;255,69;46,02;0,00
553.216;01.04.2022;09:58:18;1.184;S;1;2;8,090;0;282,99;0,00;282,99;282,99;33,96;0,00
553.217;01.04.2022;09:57:48;1.423;S;1;2;1,090;19;62,42;0,00;62,42;62,42;7,49;0,00
553.218;01.04.2022;10:02:14;1.041;S;1;2;8,476;14;82,23;0,00;82,23;57,02;8,28;0,00
553.219;01.04.2022;10:05:53;2.202;S;1;2;2,400;7;51,07;0,00;51,07;19,86;3,58;3,00
553.220;01.04.2022;10:21:47;1.484;S;1;2;1,000;0;9,70;0,00;9,70;6,47;1,16;0,00
553.221;01.04.2022;10:17:31;1.258;S;1;2;2,300;14;27,93;0,00;27,93;27,93;0,00;0,00
553.222;01.04.2022;10:20:44;2.330;S;1;2;2,000;28;61,02;0,00;61,02;61,02;0,00;0,00
553.223;01.04.2022;10:22:42;3.382;S;1;2;15,000;7;251,20;0,00;251,20;97,69;17,58;0,00
553.224;01.04.2022;10:25:38;1.085;S;1;2;3,250;7;113,13;0,00;113,13;102,07;11,39;3,00
553.225;01.04.2022;10:40:17;2.630;S;1;2;34,670;14;928,93;0,00;928,93;759,88;83,26;0,00
553.226;01.04.2022;10:33:12;3.230;S;1;2;12,670;0;297,20;0,00;297,20;115,58;20,80;0,00
553.227;01.04.2022;10:36:16;1.006;S;1;2;10,002;14;403,12;0,00;403,12;301,79;43,90;0,00
553.228;01.04.2022;10:37:07;1.992;S;1;2;1,000;0;7,93;0,00;7,93;5,29;0,95;0,00
553.229;01.04.2022;10:41:58;1.041;S;1;2;0,650;14;10,43;0,00;10,43;10,43;0,00;0,00
553.230;01.04.2022;10:45:04;2.545;S;1;2;8,600;0;290,72;0,00;290,72;193,82;34,89;0,00
553.231;01.04.2022;10:49:25;2.507;S;1;2;6,900;0;150,97;0,00;150,97;134,11;15,63;0,00
553.232;01.04.2022;11:19:44;1.484;S;1;2;12,420;0;92,68;0,00;92,68;68,07;12,25;0,00
553.233;01.04.2022;11:36:56;2.020;S;1;2;13,480;20;125,08;0,00;125,08;83,39;15,01;3,00
553.234;01.04.2022;11:48:34;1.400;S;1;2;35,450;14;1.025,91;0,00;1.025,91;954,52;134,05;0,00
