NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
553.465;1;968;1,0000;3,1000;Un;0,0000;3,0000;00;5102;0,0000
553.465;2;1.510;1,0000;8,0000;Un;0,0000;3,0000;00;5102;0,0000
553.465;3;693;0,1000;29,9000;Kg;0,0000;3,0000;00;5102;0,0000
553.466;1;884;4,0000;2,5000;Un;0,0000;0,0000;00;5102;0,0000
553.466;2;292;1,0000;3,1300;Un;0,0000;0,0000;60;5405;0,0000
553.466;3;106;0,5100;26,6000;Kg;18,0000;0,0000;20;5102;33,3300
553.466;4;146;0,1900;36,0000;Kg;18,0000;0,0000;20;5102;33,3300
553.466;5;1.307;0,2500;28,0000;Kg;18,0000;0,0000;20;5102;33,3300
553.466;6;516;0,3000;23,5000;Kg;18,0000;0,0000;20;5102;33,3300
553.466;7;290;0,2100;25,0500;Kg;18,0000;0,0000;20;5102;33,3300
553.466;8;837;1,0000;14,5100;Un;0,0000;0,0000;60;5405;0,0000
553.466;9;106;0,5000;26,6000;Kg;18,0000;0,0000;20;5102;33,3300
553.467;1;992;1,0000;5,3000;Lt;12,0000;2,0000;60;5405;0,0000
553.467;2;969;1,0000;2,5000;Un;0,0000;0,0000;60;5405;0,0000
553.467;3;750;1,0000;18,2000;Un;0,0000;0,0000;00;5102;0,0000
553.467;4;884;1,0000;2,5000;Un;0,0000;0,0000;00;5102;0,0000
553.467;5;848;1,0000;6,2500;Un;0,0000;0,0000;00;5102;0,0000
553.468;1;465;1,0000;52,7000;Un;0,0000;0,0000;00;5102;0,0000
553.468;2;170;5,0000;32,9400;Kg;12,0000;0,0000;00;5102;0,0000
553.468;3;502;2,0000;21,4700;Un;18,0000;0,0000;20;5102;61,1100
553.469;1;1.401;2,0000;16,6000;Un;0,0000;3,0000;00;5102;0,0000
553.469;2;436;2,0000;35,5600;Un;0,0000;3,0000;00;5102;0,0000
553.469;3;181;1,5500;42,1200;Kg;18,0000;3,0000;20;5102;33,3300
553.469;4;227;5,0000;18,1700;Kg;0,0000;3,0000;60;5405;0,0000
553.470;1;196;10,0000;26,7900;Kg;18,0000;0,0000;20;5102;33,3300
553.470;2;126;6,3000;11,6200;Kg;18,0000;0,0000;20;5102;33,3300
553.470;3;364;3,0000;19,9200;Un;12,0000;0,0000;00;5102;0,0000
553.470;4;440;1,0000;30,2100;Bd;0,0000;0,0000;00;5102;0,0000
553.470;5;442;1,0000;27,9300;Bd;0,0000;0,0000;00;5102;0,0000
553.471;1;170;5,0000;32,9400;Kg;12,0000;0,0000;00;5102;0,0000
553.472;1;364;2,0000;19,9200;Un;12,0000;0,0000;00;5102;0,0000
553.472;2;925;2,0000;22,8000;Un;18,0000;0,0000;20;5102;12,0000
553.472;3;922;2,0000;30,1600;Cx;18,0000;0,0000;20;5102;33,3300
553.472;4;352;1,0000;17,4800;Un;18,0000;0,0000;00;5102;0,0000
553.472;5;341;1,0000;18,8400;Un;18,0000;0,0000;00;5102;0,0000
553.473;1;2.339;1,0000;3,5000;Pç;0,0000;0,0000;00;5102;0,0000
553.474;1;2.339;1,0000;3,5000;Pç;0,0000;0,0000;00;5102;0,0000
553.474;2;138;1,0000;9,5200;Un;0,0000;0,0000;60;5405;0,0000
553.475;1;2.100;1,0000;7,0000;Un;0,0000;0,0000;00;5102;0,0000
553.476;1;456;1,0000;30,8600;Un;0,0000;0,0000;00;5102;0,0000
553.476;2;325;0,3300;57,1200;Kg;18,0000;0,0000;20;5102;33,3300
553.476;3;497;0,2800;68,2000;Kg;18,0000;0,0000;20;5102;33,3300
553.476;4;122;4,1400;35,3100;Kg;12,0000;0,0000;00;5102;0,0000
553.536;1;122;24,7000;35,3100;Kg;12,0000;0,0000;00;5102;0,0000
553.477;1;100;8,4900;35,3100;Kg;12,0000;0,0000;00;5102;0,0000
553.477;2;213;3,4800;17,9600;Kg;0,0000;0,0000;00;5102;0,0000
553.477;3;709;2,7200;39,0000;Kg;0,0000;0,0000;00;5102;0,0000
553.477;4;121;1,1200;30,9400;Kg;18,0000;0,0000;20;5102;33,3300
553.537;1;122;12,5000;35,3100;Kg;12,0000;3,0000;00;5102;0,0000
553.644;1;182;8,0000;2,7500;Un;0,0000;0,0000;60;5405;0,0000
553.644;2;198;12,0000;9,5100;Un;18,0000;0,0000;20;5102;33,3300
553.644;3;433;6,0000;16,8000;Un;18,0000;0,0000;20;5102;61,1100
553.644;4;343;1,0000;49,8800;Un;18,0000;0,0000;20;5102;33,3300
553.644;5;300;6,0000;7,1700;Un;0,0000;0,0000;60;5405;0,0000
553.644;6;992;12,0000;5,3000;Lt;12,0000;2,0000;60;5405;0,0000
