CODPROD;NOMEPROD;CODFORNE;UNIDADE;ALIQICMS;VALCUSTO;VALVENDA;QTDEMIN;QTDEESTQ;GRUPO;CLASSESTQ;COMISSAO;PESOBRUTO
101;PRODUTO 101;10;4;0,0;5,10;7,00;53,000;324,000;1;A;0,0000;0,430
102;PRODUTO 102;4;2;18,0;33,80;40,00;6,000;11,000;1;B;0,0000;3,200
103;PRODUTO 103;19;4;18,0;10,41;14,30;3,000;13,000;1;D;0,0000;0,405
104;PRODUTO 104;7;4;18,0;4,80;9,20;11,000;28,000;1;C;0,0000;0,000
105;PRODUTO 105;19;4;18,0;15,55;19,00;48,000;52,000;1;A;0,0000;1,000
106;PRODUTO 106;56;1;18,0;24,50;31,50;52,000;10,018;1;A;0,0000;0,000
107;PRODUTO 107;428;1;18,0;47,00;57,90;8,000;54,793;1;B;0,0000;0,000
108;PRODUTO 108;19;4;18,0;15,55;19,00;80,000;60,000;1;A;0,0000;1,000
109;PRODUTO 109;7;4;;9,30;12,50;0,000;13,000;1;A;0,0000;0,210
110;PRODUTO 110;116;1;12,0;29,50;47,00;108,000;50,428;1;A;0,0000;0,000
111;PRODUTO 111;21;4;0,0;10,50;13,80;3,000;3,000;1;C;0,0000;0,205
112;PRODUTO 112;45;1;12,0;35,60;47,00;26,000;13,848;1;A;0,0000;0,000
113;PRODUTO 113;19;4;18,0;15,20;19,50;11,000;17,000;1;D;0,0000;0,405
114;PRODUTO 114;7;1;18,0;35,00;50,00;66,000;150,605;1;B;0,0000;0,000
115;PRODUTO 115;116;1;18,0;36,00;46,00;5,000;10,218;1;B;0,0000;0,600
116;PRODUTO 116;309;1;18,0;55,96;72,80;13,000;19,886;1;B;0,0000;0,000
117;PRODUTO 117;7;1;18,0;61,00;78,00;23,000;62,045;1;A;0,0000;0,000
118;PRODUTO 118;311;4;;34,00;42,90;0,000;0,000;1;A;0,0000;2,000
119;PRODUTO 119;191;4;12,0;32,70;39,24;19,000;16,000;1;A;0,0000;1,100
120;PRODUTO 120;212;4;18,0;32,40;39,00;61,000;47,000;1;C;0,0000;1,100
121;PRODUTO 121;7;1;18,0;32,60;42,00;132,000;142,703;1;A;0,0000;0,000
122;PRODUTO 122;116;1;12,0;27,30;39,00;1.006,000;940,347;1;A;0,0000;0,000
123;PRODUTO 123;45;1;12,0;51,40;61,90;15,000;11,878;1;B;0,0000;0,000
124;PRODUTO 124;29;4;18,0;15,00;21,00;16,000;21,000;1;A;0,0000;1,820
125;PRODUTO 125;7;4;18,0;39,00;47,00;20,000;31,000;1;A;0,0000;1,810
126;PRODUTO 126;19;1;18,0;12,50;18,00;149,000;103,403;1;A;0,0000;0,000
127;PRODUTO 127;318;4;0,0;19,58;25,90;2,000;0,000;1;D;0,0000;0,150
128;PRODUTO 128;308;4;18,0;17,00;21,50;3,000;10,000;1;C;0,0000;0,300
129;PRODUTO 129;7;4;18,0;35,08;39,90;30,000;12,000;1;B;0,0000;0,000
130;PRODUTO 130;7;1;18,0;58,50;75,50;11,000;39,364;1;C;0,0000;
132;PRODUTO 132;29;2;18,0;36,00;48,00;4,000;2,000;1;A;0,0000;3,800
133;PRODUTO 133;7;4;0,0;13,60;17,90;10,000;35,000;1;C;0,0000;0,500
134;PRODUTO 134;29;4;18,0;23,00;29,50;8,000;10,000;1;B;0,0000;1,850
135;PRODUTO 135;45;2;12,0;100,70;118,90;5,000;4,000;1;A;0,0000;3,750
136;PRODUTO 136;428;1;18,0;48,00;59,90;3,000;5,989;1;B;0,0000;0,000
137;PRODUTO 137;64;6;18,0;131,95;158,34;0,000;0,000;1;C;0,0000;2,700
138;PRODUTO 138;309;4;0,0;10,40;13,50;39,000;185,000;1;A;0,0000;0,400
140;PRODUTO 140;56;1;18,0;12,10;15,43;24,000;0,040;1;A;0,0000;0,000
141;PRODUTO 141;41;1;18,0;44,00;56,90;5,000;4,380;1;D;0,0000;0,000
142;PRODUTO 142;45;4;0,0;22,50;29,00;0,000;18,000;1;B;0,0000;0,500
143;PRODUTO 143;116;1;12,0;60,00;72,00;19,000;10,703;1;A;0,0000;0,000
144;PRODUTO 144;45;4;18,0;43,00;51,00;19,000;21,000;1;B;0,0000;1,550
145;PRODUTO 145;45;4;0,0;14,00;18,30;8,000;32,000;1;B;0,0000;0,000
146;PRODUTO 146;318;1;18,0;36,50;46,90;14,000;8,363;1;A;0,0000;0,000
147;PRODUTO 147;309;4;0,0;10,75;13,90;11,000;17,000;1;C;0,0000;0,000
148;PRODUTO 148;116;1;12,0;32,00;45,00;212,000;44,311;1;A;0,0000;0,000
150;PRODUTO 150;229;1;18,0;33,50;48,00;66,000;9,590;1;A;0,0000;0,000
152;PRODUTO 152;294;1;18,0;81,00;105,00;10,000;5,370;1;B;0,0000;0,000
153;PRODUTO 153;45;1;18,0;66,00;99,00;67,000;44,082;1;B;0,0000;0,000
154;PRODUTO 154;7;4;18,0;8,20;10,80;94,000;89,000;1;B;0,0000;0,000
155;PRODUTO 155;162;1;18,0;36,00;48,00;68,000;155,000;1;B;0,0000;0,000
156;PRODUTO 156;162;1;18,0;36,00;48,00;36,000;23,000;1;B;0,0000;0,000
157;PRODUTO 157;15;1;18,0;69,00;83,00;4,000;354,240;1;A;0,0000;1,200
159;PRODUTO 159;7;1;18,0;34,00;50,00;81,000;175,249;1;A;0,0000;0,000
160;PRODUTO 160;116;1;12,0;40,00;52,00;31,000;29,861;1;A;0,0000;0,000
161;PRODUTO 161;7;1;18,0;53,00;64,00;7,000;43,550;1;A;0,0000;0,000
162;PRODUTO 162;77;1;18,0;43,90;57,00;16,000;41,913;1;A;0,0000;0,000
164;PRODUTO 164;7;1;18,0;70,00;90,00;8,000;19,553;1;B;0,0000;0,000
165;PRODUTO 165;7;1;18,0;70,00;90,00;9,000;21,051;1;B;0,0000;0,000
166;PRODUTO 166;7;1;18,0;52,00;65,00;12,000;15,210;1;B;0,0000;0,000
167;PRODUTO 167;7;1;18,0;50,00;67,00;10,000;2,384;1;B;0,0000;0,000
168;PRODUTO 168;191;6;18,0;102,00;118,00;3,000;1,000;1;A;0,0000;2,270
169;PRODUTO 169;243;1;18,0;61,00;78,00;29,000;86,857;1;A;0,0000;
170;PRODUTO 170;116;1;12,0;30,00;36,00;448,000;350,000;1;A;0,0000;0,000
171;PRODUTO 171;257;4;12,0;8,00;10,50;14,000;2,000;1;B;0,0000;0,172
172;PRODUTO 172;212;1;18,0;46,00;54,90;3,000;0,000;1;A;0,0000;0,000
173;PRODUTO 173;64;1;18,0;14,60;18,00;18,000;93,000;1;A;0,0000;1,050
174;PRODUTO 174;171;1;18,0;27,00;32,50;26,000;11,436;1;A;0,0000;0,000
175;PRODUTO 175;311;6;0,0;61,00;72,00;0,000;68,000;1;B;0,0000;3,300
176;PRODUTO 176;308;4;18,0;8,30;10,80;2,000;0,000;1;C;0,0000;0,220
177;PRODUTO 177;15;4;18,0;3,36;4,30;68,000;809,000;1;D;0,0000;0,040
178;PRODUTO 178;309;1;18,0;55,96;72,80;2,000;4,263;1;C;0,0000;0,000
179;PRODUTO 179;45;1;18,0;59,00;68,90;5,000;11,748;1;C;0,0000;0,000
180;PRODUTO 180;7;1;18,0;49,00;60,00;15,000;54,768;1;A;0,0000;0,000
181;PRODUTO 181;257;1;18,0;43,00;55,00;42,000;39,873;1;B;0,0000;0,000
182;PRODUTO 182;308;4;;2,30;3,10;192,000;200,000;1;B;0,0000;0,150
